age,workclass,education,Education_numOfYears,marital_status,occupation,relationship,race,sex,hous_per_week,native_country,fifty_bool
Young-Age,Private,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,Incomplete-Education,5,NO-Spouse,Exec-managerial, Not-in-family, White, Male,Normal-Hours, Mexico, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Goverment,Bachelors,13,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Self-Employed,HS-Graduates,9,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Exec-managerial, Not-in-family, White, Female,Normal-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Divorced,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Masters,14,Never-married,Exec-managerial, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,HS-Graduates,9,Divorced,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Self-Employed,Associates,12,Married,Lowwer-Working-Class, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Male,Relaxed-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Divorced,Lowwer-Working-Class, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,10,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,Associates,11,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, Mexico, <=50K.
Young-Age,Private,HS-Graduates,10,Divorced,Lowwer-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Married,Lowwer-Working-Class, Husband, Other, Male,Part-Time-Hours, Dominican-Republic, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Old-Age,Self-Employed,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Self-Employed,HS-Graduates,10,Married,Technical-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Exec-managerial, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Divorced,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Self-Employed,HS-Graduates,10,Married,Lowwer-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Divorced,Technical-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Goverment,Incomplete-Education,7,Never-married,Other-Service, Own-child, White, Female,Relaxed-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Goverment,HS-Graduates,10,Never-married,Armed-Forces, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,Bachelors,13,Never-married,Exec-managerial, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,Incomplete-Education,4,Never-married,Other-Service, Not-in-family, Black, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,Masters,14,Married,Technical-Working-Class, Wife, White, Female,Relaxed-Time-Hours, United-States, >50K.
Old-Age,Goverment,Bachelors,13,Divorced,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Masters,14,Never-married,Other-Service, Not-in-family, Amer-Indian-Eskimo, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Exec-managerial, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Incomplete-Education,6,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Unmarried, Black, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Lowwer-Working-Class, Own-child, Black, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Self-Employed,Incomplete-Education,5,NO-Spouse,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Old-Age,Goverment,HS-Graduates,9,NO-Spouse,Other-Service, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Incomplete-Education,6,Divorced,Technical-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Lowwer-Working-Class, Own-child, Black, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Own-child, White, Female,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Associates,11,Married,Exec-managerial, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,10,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Unmarried, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,7,Never-married,Other-Service, Not-in-family, White, Female,Relaxed-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,NO-Spouse,Other-Service, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Bachelors,13,Divorced,Other-Service, Unmarried, White, Female,Part-Time-Hours, United-States, >50K.
Young-Age,Goverment,Bachelors,13,Divorced,Technical-Working-Class, Unmarried, White, Female,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Divorced,Technical-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Divorced,Lowwer-Working-Class, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Divorced,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,Doctorate,16,Married,Technical-Working-Class, Wife, White, Female,Part-Time-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Self-Employed,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Normal-Hours, Ireland, >50K.
Middle-Age,Private,Masters,14,Married,Technical-Working-Class, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,10,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Unmarried, Black, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Self-Employed,Doctorate,16,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, Black, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,Associates,12,Never-married,Technical-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,Incomplete-Education,4,Married,Technical-Working-Class, Husband, Black, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Wife, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,6,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Masters,14,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, Asian-Pac-Islander, Female,Relaxed-Time-Hours, Germany, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Self-Employed,HS-Graduates,9,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,Masters,14,Never-married,Technical-Working-Class, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Self-Employed,HS-Graduates,9,NO-Spouse,Exec-managerial, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Associates,11,NO-Spouse,Exec-managerial, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Private,Bachelors,13,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Not-in-family, Black, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,7,Married,Other-Service, Wife, Black, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Incomplete-Education,4,Married,Technical-Working-Class, Husband, White, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,7,Never-married,Lowwer-Working-Class, Unmarried, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,Bachelors,13,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Goverment,HS-Graduates,9,Never-married,Lowwer-Working-Class, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Never-married,Lowwer-Working-Class, Unmarried, Black, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Self-Employed,Bachelors,13,Divorced,Exec-managerial, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,Incomplete-Education,7,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Other-Service, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Goverment,Masters,14,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,10,Married,Exec-managerial, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Self-Employed,Doctorate,16,Married,Technical-Working-Class, Husband, White, Male,Relaxed-Time-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Unmarried, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Goverment,HS-Graduates,9,Divorced,Exec-managerial, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Young-Age,Private,Masters,14,Never-married,Technical-Working-Class, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,Incomplete-Education,8,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Goverment,Masters,14,Divorced,Other-Service, Unmarried, Black, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,Associates,11,Married,Technical-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Self-Employed,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,10,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Young-Age,Private,Masters,14,Never-married,Exec-managerial, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Self-Employed,HS-Graduates,10,Married,Exec-managerial, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Middle-Age,Private,Bachelors,13,NO-Spouse,Exec-managerial, Not-in-family, White, Female,Normal-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Divorced,Other-Service, Unmarried, Black, Female,Part-Time-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,9,Divorced,Lowwer-Working-Class, Not-in-family, White, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Not-in-family, White, Male,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Female,Normal-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Married,Exec-managerial, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Middle-Age,Private,Bachelors,13,Divorced,Technical-Working-Class, Not-in-family, White, Male,Normal-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,10,Divorced,Other-Service, Not-in-family, Black, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Unmarried, Black, Female,Normal-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Divorced,Exec-managerial, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,10,Never-married,Lowwer-Working-Class, Not-in-family, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Self-Employed,Incomplete-Education,15,Married,Technical-Working-Class, Wife, White, Female,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Goverment,HS-Graduates,10,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Young-Age,Self-Employed,Bachelors,13,Married,Exec-managerial, Husband, White, Male,Normal-Hours, United-States, <=50K.
Old-Age,Private,Bachelors,13,Divorced,Lowwer-Working-Class, Not-in-family, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Goverment,Bachelors,13,Divorced,Technical-Working-Class, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Associates,11,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Young-Age,Self-Employed,Bachelors,13,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, <=50K.
Middle-Age,Private,Incomplete-Education,4,Married,Lowwer-Working-Class, Husband, Black, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Goverment,HS-Graduates,9,Married,Exec-managerial, Husband, White, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Married,Technical-Working-Class, Wife, White, Female,Normal-Hours, United-States, >50K.
Young-Age,Private,HS-Graduates,10,Married,Other-Service, Husband, White, Male,Normal-Hours, United-States, >50K.
Young-Age,Private,Incomplete-Education,7,Never-married,Other-Service, Not-in-family, White, Male,Relaxed-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Own-child, White, Female,Normal-Hours, United-States, <=50K.
Middle-Age,Goverment,Associates,11,Divorced,Lowwer-Working-Class, Unmarried, White, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Bachelors,13,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Technical-Working-Class, Own-child, Black, Female,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Goverment,HS-Graduates,9,Never-married,Other-Service, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,3,Never-married,Technical-Working-Class, Other-relative, White, Male,Part-Time-Hours, Mexico, <=50K.
Young-Age,Private,Associates,11,Divorced,Lowwer-Working-Class, Not-in-family, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Never-married,Exec-managerial, Not-in-family, White, Female,Normal-Hours, United-States, <=50K.
Young-Age,Private,Bachelors,13,Married,Other-Service, Husband, Asian-Pac-Islander, Male,Part-Time-Hours, Philippines, <=50K.
Young-Age,Private,HS-Graduates,9,Never-married,Technical-Working-Class, Not-in-family, Asian-Pac-Islander, Female,Part-Time-Hours, Philippines, <=50K.
Middle-Age,Private,HS-Graduates,9,Never-married,Lowwer-Working-Class, Unmarried, White, Male,Part-Time-Hours, United-States, <=50K.
Old-Age,Self-Employed,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Goverment,Incomplete-Education,5,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Middle-Age,Private,HS-Graduates,10,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Bachelors,13,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Goverment,HS-Graduates,9,Married,Exec-managerial, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Incomplete-Education,8,Never-married,Lowwer-Working-Class, Own-child, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,Incomplete-Education,15,Married,Technical-Working-Class, Husband, White, Male,Normal-Hours, United-States, <=50K.
Old-Age,Private,Masters,14,Never-married,Exec-managerial, Unmarried, Asian-Pac-Islander, Female,Normal-Hours, Thailand, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, >50K.
Old-Age,Self-Employed,HS-Graduates,9,Married,Other-Service, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,Associates,11,Divorced,Technical-Working-Class, Unmarried, White, Female,Normal-Hours, United-States, <=50K.
Old-Age,Private,HS-Graduates,10,Married,Technical-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Middle-Age,Private,HS-Graduates,9,Never-married,Other-Service, Unmarried, Black, Female,Part-Time-Hours, Haiti, <=50K.
Young-Age,Private,HS-Graduates,10,Never-married,Other-Service, Not-in-family, White, Female,Part-Time-Hours, United-States, <=50K.
Young-Age,Private,HS-Graduates,9,Married,Lowwer-Working-Class, Husband, White, Male,Part-Time-Hours, United-States, <=50K.
Young-Age,Goverment,HS-Graduates,9,Never-married,Other-Service, Own-child, White, Female,Part-Time-Hours, United-States, <=50K.
